theoryCluster,theoryGroupIndex,theoryID,idTheoryGroupIndex,theoryName,theoryRelatedTo,theoryLogics,theorySummary,theoryPrinciples,theoryTags,theoryExample,theoryStructureOfTheInternationalSystem,theoryRelationOfSystemToEnvironment,theorySecurityReferentObject,theoryAgent,theoryThreatActors,theorySourceOfResilience,theoryInterventions,theoryStrategy,theoryPrimaryAuthors,theoryYear,theoryLimitations,theoryAudience,theoryResearchDrawnUpon,theoryNotesCrossReferences,theoriesTechnology
state-based realism,Antecedents,7,1,Classic Realism: Thucydides,"Classical Realism, Neoclassical Realism","National, Military",The strong do what they can and the weak suffer what they must.,"Accumulation of power; 'For the love of gain would reconcile the weaker to the dominion of the stronger, and the possession of capital enabled the more powerful to reduce the smaller cities to subjection.' Book I, 1.1-[1]. 'We must make up our minds to look for our protection not to legal terrors but to careful administration.' Book III, 3.46-[4]. 'They stood where they stood by the power of the sword.' Book IV, 4.98-[7]. '... right, as the world goes, is only in question between equals in power, while the strong do what they can and the weak suffer what they must.' A summary of Athenian statements to the Melians, Book V, 5.89-[1].","classic realism, anarchy (Structure of System), state (Referent), strategic relevance (Strategies), state (Threat), alliances (Threat), realism, power, military (Agent), anarchy (Structure of System), alliances (Threat), alliances (Agent), threat, power, state (Referent), state (Threat), defensive, futility, military deterrence (Interventions), military (Agent), strong, weak, dominion, terrors, administration, power, subjection, protection, fear, anarchy, state, strategic relevance, dissociation, threat, military campaigns, dominance, state funds, funds, military capability, Thucydides (Primary Source)","Meeting the sword with the sword to establish the right of power between closely matched opponents; ""the Thracian people, like the bloodiest of the barbarians, being ever most murderous when it has nothing to fear"" Book VII, 7.29-[4].",Anarchy,Dissociation; perception of threat.,The state.,Military realm only.,Opposing states and alliances.,"Military capability;  internal power structure reflects distribution of power, most likely hegemonic; Previously, the concept of security was broader, referring to both the state and individual- for the Greeks, the city-state provided the order and protection prerequisite for human endeavors and well-being (MacFarlane and Khong, Human security and the UN; a critical history. Indianapolis: Indiana University Press 2006, p.246).",Military campaigns to assert dominance over challengers.,Strategic relevance; central state funds are used in waging wars.,"Thucydides, History of the Peloponnesian War.",431 B.C.E,"George argues, Thucydides 'specifically rejects the notion of general (structural) laws capable of explaining international conflict - Rather, he is much more concerned with the intersubjective nature of decision-making.' From, Postmodernism and IR: From Disparate Critiques to a Coherent Theory of Global Politics, Felipe Krause Dornelles, p.7. Refers to, George, Jim. Discourses of Global Politics: A Critical (Relation to Environment) Introduction to International Relations. Lynne Rienner Publishers, Boulder, Colorado, 1994.; p.193.",Awaiting,Awaiting,Awaiting,Awaiting
realism,Antecedents,9,2,Machiavelli,Awaiting,National,Good laws and good arms are the foundation for authority and power best exercised through fear and violence.,"Authority and power are essentially coequal: whoever has power has the right to command; but goodness does not ensure power and the good person has no more authority by virtue of being good. Power is discussed in terms of 'maintaining the state', and legitimate rights of rulership adds nothing to the actual possession of power, and should be excluded from political decision-making and judgement. Good laws and good arms constitute the dual foundations of a well-ordered political system. Fear is always preferable to affection in subjects, just as violence and deception are superior to legality in effectively controlling them.","Machiavelli (Primary Source), republican state, state (Referent), ruler (Referent), ruler (Agent), prince, state actors, machiavelli, force, material, dissociation, threat, authority, power, state, rulership, right, law, arms, order, fear, violence, deception, control, fortune, anarchy, republican, order, show of power, moral viciousness",Sometimes it is necessary to impose a ruler's authority by instilling terror and fear in the people during times of uncertainty.,Anarchy; material,Dissociation; perception of threat.,The republican state; the ruler,"The prince or ruler, state actors","Threat actors are represented through the idea of Fortuna - the enemy of political order, the ultimate threat to the safety and security of the state. Fortune is a malevolent and uncompromising fount of human misery, affliction, and disaster. His analogy for fortune is with a destructive river: ''She shows her power where virtu and wisdom do not prepare to resist her, and directs her fury where she knows that no dykes or embankments are ready to hold her'' (Machiavelli 1965, 90); ''it is better to be impetuous than cautious, because Fortuna is a woman and it is necessary, in order to keep her under, to beat and maul her'' (Machiavelli 1965, 92).","One of the strengths of game theory is that its formal structure facilitates the identification of inconsistent assumptions, highlights the implications of initial assumptions, and increases the probability of logical argumentation.","Sudden, outright, forceful, and vicious acts carried out by organs of the state; 'divide and rule'.","Authority of states and their laws will never be acknowledged when they are not supported by a show of power which renders obedience inescapable. Moral viciousness can never be excluded from the realm of possible actions; ""public virtue from private vices."" Also the checks and balances of keeping factions and institutions at odds with one another- divide and rule.","Niccolo Machiavelli, The Prince.","1513, published 1532","There can be a positive side to instilling factional divison and individual vice: Mansfield argues that Machiavelli's own aims have not been shared by those he influenced. Machiavelli argued against seeing mere peace and economic growth as worthy aims on their own, if they would lead to what Mansfield calls the ""taming of the prince"". Source: Mansfield, Harvey, Taming the Prince, 1993.",Awaiting,"Contemporary readers are reminded by Machiavelli's teaching of Thucydides; they find in both authors the same ""realism,"" i.e., the same denial of the power of the gods or of justice and the same sensitivity to harsh necessity and elusive chance. Yet Thucydides never calls in question the intrinsic superiority of nobility to baseness, a superiority that shines forth particularly when the noble is destroyed by the base. Therefore Thucydides' History arouses in the reader a sadness which is never aroused by Machiavelli's books. In Machiavelli we find comedies, parodies, and satires but nothing reminding of tragedy. One half of humanity remains outside of his thought. There is no tragedy in Machiavelli because he has no sense of the sacredness of ""the common."" ' Source; Strauss, Leo (1958), Thoughts on Machiavelli, Chicago: University of Chicago Press, p. 292.","Jean-Jacques Rousseau long ago held that the real lesson of 'The Prince' is to teach the people the truth about how princes behave and thus to expose, rather than celebrate, the immorality at the core of one-man rule.",Awaiting
liberalism,Antecedents,8,3,"Hobbes, Rousseau, & Locke",Democratic Peace Liberalism,National,The sovereignty of a state rests on a peaceable social contract that prevents the war of all against all. Rousseau: Progressive civil society is primarily founded on property and ownership underwritten by a social contract. Locke:  All are free to do as they wish within the law of nature and of reason.,"Hobbes argued that all humans are by nature equal in faculties of body and mind (i.e., no natural inequalities are so great as to give anyone a ""claim"" to an exclusive ""benefit""). From this equality and other causes in human nature, everyone is naturally willing to fight one another: so that ""during the time men live without a common power to keep them all in awe, they are in that condition which is called warre; and such a warre as is of every man against every man"". In this state every person has a natural right or liberty to do anything one thinks necessary for preserving one's own life; and life is ""solitary, poor, nasty, brutish, and short"" (Leviathan, Chapters XIII_XIV). ""The war of all against all"" (Latin: Bellum omnium contra omnes, in De Cive, 1642). A thought experiment about human existence in the state of nature: 'I demonstrate, in the first place, that the state of men without civil society (which state we may properly call the state of nature) is nothing else but a mere war of all against all; and in that war all men have equal right unto all things.' Hobbes suggests that people choose to enter a social contract, giving up some of their liberties in order to enjoy peace. This thought experiment is a test for the legitimation of a state in fulfilling its role as 'sovereign' to guarantee social order, and for comparing different types of states on that basis.","state of nature, liberalism, liberal, rule of law, law, peace, state (Referent), equal, fight, power, war, preserving, civil society, nature, social contract, peace, state, sovereignty, order, rights, anarchy, right, state, materialism, negotiation, civil union, military (Agent), state (Threat), law, reason, punishment, sanctions, dissociation, state (Referent), individuals, human rights, threat, Hobbes (Primary Source), Rousseau (Primary Source), Locke (Primary Source)","Societies cannot survive without a strong central government to serve and protect all, acting only with the ""consent of the governed."" We form into commonwealths under absolute rulers to escape from the ""miserable condition of war,"" a perpetual state of violence, insecurity and constant threat, and also in part to escape religious authority.","Anarchy; 'Hobbes of course asserted that the passage from a state of nature to a civil union was not possible in the field of international relations, and he repeatedly denied the possibility of both a pactum societatis [social pact] and a pactum subjectionis [force] among states'. Chantal Mouffe, Democracy in a multipolar world, 2009, p.554",Dissociation; perception of threat.,The state; individuals and their human rights.,The state,Opposing states; rulers acting without check.,"The social contract; and the freedom to order actions and dispose of resources as thought fit to ensure security. The pactum societatis, which excludes the use of reciprocal force to resolve conflicts and settles them by negotiation.",The law; reason; punishment.,Imposition of social and political sanctions.,"Thomas Hobbes, Leviathan (1651); Jean-Jacques Rousseau, A Discourse on Inequality (1755); John Locke, Second Treatise on Civil Government (1689).
",1651-1755,"The principle of state sovereignty implies that the individual allocates authority and power to the state in exchange for the protection of his/her security by the state. Implies an abstracted and collective conception of individual security to be applied and negotiated. Historical note: in his Notes on the State of Virginia (1785), Thomas Jefferson laments that the constitution of that state was twice at risk of being sacrificed to the nomination of a dictator after the manner of the Roman Republic.",Awaiting,"Thucydides, Tacitus, Machiavelli.","Hobbes translated Thucydides, History of the Peloponnesian War into English. Contrast Hobbes' approach to the legitimation of a state (in fulfilling its role as 'sovereign' to guarantee social order), with Machiavelli's assessments of a ruler's ability to know which strategies are suitable to maintain the state (virtù).  They need a 'flexible disposition'. That ruler is best suited for office, on Machiavelli's account, who is capable of varying her/his conduct from good to evil and back again- as fortune and circumstances dictate' (Machiavelli 1965, 66).",Awaiting
liberalism,Antecedents,10,4,Kantian Liberalism,"Democratic Peace Liberalism, Peace Studies",National,"The good republican state strives for constitutional rule, peace, and law at home and abroad.","Republican states are 'peace producers'; the 'good state'; constitutional rule according to law; the duty of the republican state to strive towards law-regulated international relations. Positive peace, and his plan made peace 'more than a merely pious aspiration'. Kant may properly be regarded as 'the inventor of peace'; Howard, Michael (2000), The Invention of Peace (London: Profile Books), p.31.
","kantian liberalism, liberalism, liberal, rule of law, law, peace, state (Referent), peace, good, republican, rule, constitutional, regulated, positive, categorical imperatives, universal, federation, free, collective, non-interference, perpetual peace, liberal, state (Referent), universal laws, state (Threat), anarchy, material, peacekeeping, federation of free states, consultation, diplomacy, interdependence, Kant (Primary Source)",Mutual democratic pacifism'; democracies are hesitant to engage in armed conflict with other identified democracies.,"Anarchy, with a tendency to order over time.","Refutation of the 'balance of power' as a peacekeeper, since 'It is the desire of every state, or of its ruler, to arrive at a condition of perpetual peace by conquering the whole world, if that were possible' (Kant, 1991b).",The state.,Categorical imperatives': universal applicability of laws; the only laws that deserved the name were those one could wish everyone (including oneself) obeyed.,Other states not motivated by the production of peace.,The regulation by law and constitution; state of peace; Kant's notion that human beings should be treated as ends rather than as means; internal power structure symmetrical with high degree of interdependence.,"Federation of free states' would provide for a type of collective security system; habits of consultation; a citizenry which had to be consulted before going to war would be unlikely to endorse war easily; maintaining law-regulated international relations; the abolition of standing armies, non-interference in the affairs of other states, the outlawing of espionage, incitement to treason and assassination as instruments of diplomacy, and an end to imperial ventures.","Preliminary articles' for a state to achieve before a true 'positive peace' is possible: 1 The civil constitution of every state should be republican. 2 The law of nations shall be founded on a federation of free states. 3 The law of world citizenship shall be limited to conditions of universal hospitality. Kant's concept of ""conditions of possibility"", as in his notion of ""the conditions of possible experience"" _ that is that things, knowledge, and forms of consciousness rest on prior conditions that make them possible, so that, to understand or to know them, we must first understand these conditions.","Immanuel Kant; Perpetual Peace: a philosophical sketch; and, On the relationship of theory to practice in political right.",1795,"It is said that the logical conclusion of Kant's arguments implies a derigiste state, where a perpetual peace may exist at the expense of the diversity of opinion about what constitutes desirable peace and security in both economic and social terms.",Awaiting,"Edmund Burke, Adam Smith, John Locke, Rousseau, David Hume, Aristotle.","Kant's ""Copernican revolution"", that placed the role of the human subject or knower at the center of inquiry into our knowledge, such that it is impossible to philosophize about things as they are independently of us or of how they are for us. Kant influenced Max Weber, Jurgen Habermas, John Rawls, Jean Piaget, Noam Chomsky, German Idealism, Marxism, positivism, phenomenology, existentialism, critical theory, linguistic philosophy, structuralism, post-structuralism, and deconstructionism. Foreshadowed many of the ideas that have come to form the democratic peace theory;  which posits that democracies are hesitant to engage in armed conflict with other identified democracies, or ""mutual democratic pacifism"". Re: Kant's 'positive peace' and McSweeney's 'positive security'. Emphasis on consultation prefigures participatory and co-design approaches. ",Awaiting
military realism,Realism,1,5,Classical Realism,Awaiting,"National, Military",Bad things happen within the state because the people making foreign policy are sometimes bad.,"Accumulation of power; flawed nature of humanity; continuous struggle to increase their capabilities. The absence of the international equivalent of a state's government is a permissive condition that gives human appetites free reign. Classical realism explains conflictual behaviour by human failings. Wars are explained, for example, by particular aggressive statesmen, or by domestic political systems that give greedy parochial groups the opportunity to pursue self-serving expansionist foreign policies. For classical realists international politics may be characterized as evil: bad things happen because the people making foreign policy are sometimes bad (Spirtas 1996: 387_400).","classical realism, self-help (Structure of System), military deterrence (Interventions), military (Agent), strategic relevance (Strategies), state (Referent), state (Threat), alliances (Threat), anarchy (Structure of System), power, war, hegemony, hegemonic, distribution of power, realism, material (Structure of System), static (Structure of System), self-help (Structure of System), military capability (Source of Resilience), internal power structure (Source of Resilience), power, flawed, struggle, permissive, failings, war, aggression, greed, parochial, evil, bad, anarchy (Structure of System), self-help system (Structure of System), static (Structure of System), physical, dominance, military deterrence (Interventions), military (Agent), dissociation (Relation to Environment), threat (Relation to Environment), rational, strategic relevance (Strategies), Morgenthau (Primary Source)","The 'Axis of Evil', a list of morally unfit states, identified as threatening the interests of the USA, a list redefined and revised under several different administrations.",Material; static; anarchy; self-help system.,Dissociation; perception of threat.,The state; the dominant power.,Military realm only.,Opposing states and alliances.,"military capability; internal power structure reflects disribution of power, most likely hegemonic.",Military deterrence; cost-benefit analysis of risk.,strategic relevance; Classical realism posits that state behaviour may be understood as having rational microfoundations; with cost-benefit rationality as an option.,"Hans Morgenthau, Politics Among Nations: The Struggle for Power.",1948,"The ethical dimension to realism is notable in the uncritical nature of central realist assumptions, including potentially deceptive or misleading essentialist discourses around the concept of security. It is also noticeable that realism does not provide a strategic theoretical overview of a typical realist scenario, where 'the creation and the understanding of knowledge are the consequence of processes of dominance and exclusionary practices'. From, Postmodernism and IR: Disparate Critiques to a Coherent Theory of Global Politics, Felipe Krause Dornelles, p.2.",Awaiting,"Thucydides, Tacitus, Edmund Burke, Francis Bacon",Awaiting,Awaiting
military realism,Realism,2,6,Neorealism (Structural),Awaiting,"National, Military","Hegemony by any single state is unlikely or even impossible, and the same depressingly familiar things happen over and over again.","Accumulation of power; its ordering principle is anarchy, and the principle of self-help means that all of the units remain functionally alike. Accordingly, the only structural variable is the distribution of capabilities, with the main distinction falling between multipolar and bipolar systems.","neorealism, structural realism, self-help (Structure of System), military deterrence (Interventions), military (Agent), strategic relevance (Strategies), state (Referent), state (Threat), alliances (Threat), anarchy (Structure of System), power, war, hegemony, hegemonic, distribution of power, realism, material (Structure of System), static (Structure of System), self-help (Structure of System), military capability (Source of Resilience), internal power structure (Source of Resilience), anarchy (Structure of System), self-help (Structure of System), multipolar (Strategies), bipolar (Strategies), multipolar, hegemony, state (Agent), state (Threat), structure, military (Agent), military deterrence (Interventions), futility, strategy, unit, convergence, tragic (Relation to Environment), strategic relevance (Strategies), Waltz (Primary Source)",A wide distribution of capabilities is the best deterrence against repeated patterns of military conflict and other forms of territorial dispute. ,Anarchy.,Tragic; systemic processes will consistently produce convergent international outcomes. Waltz notes that international politics is characterised by a disheartening consistency; the same depressingly familiar things happen over and over again.,"The state, the international system.",Military realm only.,Opposing states and alliances.,"Military capability;  internal power structure reflects distribution of power, most likely hegemonic.",Military deterrence; preventing hegemony of any single state and maintaining strategic relevance.,"Strategic relevance; Waltz predicts that multipolar systems will be less stable than bipolar systems; that interdependence will be lower in bipolarity than multipolarity; and that regardless of unit behaviour, hegemony by any single state is unlikely or even impossible.","Kenneth Waltz, Theory of International Politics.",1979,"Realist (positivist) theories of IR suffer from 'Cartesian anxiety', Halliday, Fred. The future of International Relations: fears and hopes. In Smith, Booth, and Zalewski (eds), 1996; p.320. Liberalism criticises realism for underestimating the opportunity for international cooperation and integration.",Awaiting,"Thucydides, Tacitus, Edmund Burke, Francis Bacon",Awaiting,Awaiting
state-based realism,Realism,3,7,Defensive Structural Realism,Awaiting,"National, Military",States form alliances to protect themselves.,"Accumulation of power; Walt (1987), 'in anarchy, states form alliances to protect themselves. Their conduct is determined by the threats they perceive and the power of others is merely one element in their calculations'. Walt argues that threat (and not just aggregate capabilities) determines how states respond to one another.","defensive structural realism, anarchy (Structure of System), state (Referent), strategic relevance (Strategies), state (Threat), alliances (Threat), realism, power, military (Agent), anarchy (Structure of System), alliances (Threat), alliances (Agent), threat, power, state (Referent), state (Threat), defensive, futility, military deterrence (Interventions), military (Agent), control of allies, balance, offence-defence balance (Strategies), balancing world (Relation to Environment), sanguine (Relation to Environment), strategic relevance (Strategies), material (Structure of System), static (Structure of System), self-help (Structure of System), military capability (Source of Resilience), relations (Source of Resilience), Walt (Primary Source)","Seeking to prevent conquest by, or supremacy of, an opposing power in dyadic opposition. ",Anarchy,Sanguine; a balancing world; a state's attempt to make itself more secure by increasing its power is ultimately futile. Arnold Wolfers (1962: 158_159).,The state.,Military realm; alliances.,Opposing states and alliances.,"Military capability; relations with other powers;  internal power structure reflects distribution of power, most likely hegemonic.",Military deterrence; resulting dyadic balancing explains the absence of hegemony in the system.,strategic relevance; adds the offence-defence balance as a variable (see Van Evera 1999: 10). This is a composite variable combining a variety of different factors that make conquest harder or easier.,"Stephen M. Walt, The Origins of Alliances.",1987,The assumption that a state has a degree of homogeneity.,Awaiting,"Thucydides, Tacitus, Edmund Burke, Francis Bacon","From: www.schneier.com Rebecca Slayton has an article in International Security that tries to make sense of this: What is the Cyber Offense-Defense Balance? Conceptions, Causes, and Assessment. In it, she points out that launching a cyberattack is more than finding and exploiting a vulnerability, and it is those other things that help balance the offensive advantage.",Awaiting
state-based realism,Realism,4,8,Offensive Structural Realism,Awaiting,"National, Military",Acquiring as much power compared to other states as possible.,Accumulation of power i.e: maximisation of relative power; security requires acquiring as much power compared to other states as possible. States can never be certain about other states intentions; survival is the primary goal of great powers; and great powers are rational actors.,"offensive structural realism, anarchy (Structure of System), state (Referent), strategic relevance (Strategies), state (Threat), alliances (Threat), realism, power, military (Agent), state, power, survival, intentions, great, rational, offensive, fear, anarchy, military, control of allies, control, military deterrence, regional hegemony, regions, uncertainty, strategic relevance, fear of other states (Structure of System), military capability (Source of Resilience), internal power structure (Source of Resilience), Mearsheimer (Primary Source)",Maintaining regional and international hegemony of Great Powers.,Anarchy and fear of other states,Uncertain international environment,The state.,Military realm only.,Opposing states and alliances.,"Military capability; relations with other powers;  internal power structure reflects distribution of power, most likely hegemonic.",Military deterrence; regional hegemony.,Strategic relevance; 'the main causes... are located in the architecture of the international system. What matters most is the number of great powers and how much power each controls.' Mearsheimer (2001: 337).,"John Mearsheimer, The Tragedy of Great Power Politics.",2001,The assumption that a state has a degree of homogeneity.,Awaiting,"Thucydides, Tacitus, Edmund Burke, Francis Bacon","Contrast offensive realism with Kant: 'In fact, such a phenomenon in human history is never forgotten, because it has revealed an aptitude and faculty for progress in human nature...' quoted in Foucault p.19. in ths case :, that is to say, arrive at a state in which men will be able to give themselves the constitution they want and one that will prevent offensive wars.' p. 19.'men seek to give themselves a kind of political constitution that, by virtue of its very principles, avoids all offensive war' p.18.",Awaiting
state-based realism,Realism,5,9,Rise & Fall Realism (Dynamic Differentials),Awaiting,"National, Military",A recurring struggle for wealth and power among actors in a state of anarchy.,Accumulation of power; leading state dictates the rules and practices of the system; 'the fundamental nature of international relations has not changed over the millennia. International relations continue to be a recurring struggle for wealth and power among independent actors in a state of anarchy.' Gilpin (1981: 7),"rise and fall realism, dynamic differentials realism, dynamics, anarchy (Structure of System), state (Referent), strategic relevance (Strategies), state (Threat), alliances (Threat), realism, power, military (Agent), leading, struggle, wealth, power, anarchy, military, transitional wars, war, ranked states, dominance, decline, strategic relevance, uncertainty, relations, internal power structure, primary states, secondary states, Gilpin (Primary Source)","Major wars are typically initiated by dominant military powers which fear significant decline, and this eventuality must be prevented throuh dynamically balancing powers of states.",Anarchy; and the onset of transitional wars between powers.,Uncertain international environment,The state.,Military realm only.,Opposing states and alliances.,"Military capability; relations with other powers;  internal power structure reflects distribution of power, most likely hegemonic","Maintaining the gap between the first and second ranked states; Dale Copeland's (2001) dynamic differentials theory, which suggests that major wars are typically initiated by dominant military powers which fear significant decline.",Strategic relevance.,"Robert Gilpin, War and Change in World Politics.",1981,The assumption that a state has a degree of homogeneity.,Awaiting,"Thucydides, Tacitus, Edmund Burke, Francis Bacon",Awaiting,Awaiting
state-based realism,Realism,6,10,Neoclassical Realism,Awaiting,"National, Military",States are primarily motivated by balancing the interests of their fear and greed.,"Accumulation of power; 'balance of interests' theory, based on whether states are primarily motivated by, and the extent of, their fear and greed. This theory represents a move back towards internal state variables: a). democratic, b). capitalism, and to some extent c). cultural variables.","neoclassical realism, anarchy (Structure of System), state (Referent), strategic relevance (Strategies), state (Threat), alliances (Threat), realism, power, military (Agent), balance, interests, state, motivated, fear, greed, anarchy, control of allies, control, military, military deterrence, elite consensus, elite cohesion, social cohesion, regime vulnerability, disruptive, predatory, strategy, alliances (Agent), fear of other states, ideology, primary states, secondary states, ranked states, Schweller (Primary Source)","Combat disruptive and predatory actors through statecraft mechanisms such as diplomacy, coalitions, and economic initiatives; control of allies; social and elite cohesion and consensus.",Anarchy.,"Some actors- thanks to domestic structure and institutions, ideology, and ambitions- practice disruptive and predatory strategies.' Rasler and Thompson (2001: 47).",The state.,Military realm; alliances.,Opposing states and alliances.,"Social and elite cohesion and consensus should combat disruptive and predatory actors through statecraft mechanisms such as diplomacy, coalitions, and economic initiatives. Internal power structure reflects distribution of power, most likely hegemonic","Military deterrence; correct balancing of powers. Advocates of soft balancing have proposed a number of mechanisms through which states engage in this form of balancing, including diplomacy, diplomatic coalitions, international institutions and agreements, statecraft mechanisms such as territorial denial, as well as economic initiatives and multilateral and regional economic endeavours that exclude the superpower in the process.","Strategic relevance; `complex domestic political processes act as transmission belts that channel, mediate, and (Relation to Environment)direct policy' (Schweller 2006: 6). A four-variable model comprising elite consensus, elite cohesion, social cohesion and regime vulnerability.","Schweller, Randall L. Tripolarity and the Second World War. International Studies Quarterly 37.1 (1993): 73-103. Also see, Rose, Gideon. Neoclassical realism and theories of foreign policy. World politics 51.1 (1998): 144-172.",1993,The assumption that a state has a degree of homogeneity.,Awaiting,"Thucydides, Tacitus, Edmund Burke, Francis Bacon",Awaiting,Awaiting
